Category,Name,Other Name(s),Description,Convention,Units,Invalid Channel Criteria
,TipClrnc1,"TwrClrnc1, Tip2Twr1","Blade 1 tip-to-tower clearance estimate. This is computed as the perpendicular distance from the yaw axis to the tip of blade 1 when the blade tip is below the yaw bearing. When the tip of blade 1 is above the yaw bearing, it is computed as the absolute distance from the yaw bearing to the blade tip. Please note that you should reduce this value by the tower radius to obtain the actual tower clearance.",N/A,(m),
Blade 2 Tip Motions,,,,,,
,TipDxc2,OoPDefl2,Blade 2 out-of-plane tip deflection (relative to the pitch axis),Directed along the xc2-axis,(m),
,TipDyc2,IPDefl2,Blade 2 in-plane tip deflection (relative to the pitch axis),Directed along the yc2-axis,(m),
,TipDzc2,TipDzb2,Blade 2 axial tip deflection (relative to the pitch axis),Directed along the zc2- and zb2-axes,(m),
,TipDxb2,,Blade 2 flapwise tip deflection (relative to the pitch axis),Directed along the xb2-axis,(m),
,TipDyb2,,Blade 2 edgewise tip deflection (relative to the pitch axis),Directed along the yb2-axis,(m),
,TipALxb2,,Blade 2 local flapwise tip acceleration (absolute),Directed along the local xb2-axis,(m/s^2),
,TipALyb2,,Blade 2 local edgewise tip acceleration (absolute),Directed along the local yb2-axis,(m/s^2),
,TipALzb2,,Blade 2 local axial tip acceleration (absolute),Directed along the local zb2-axis,(m/s^2),
,TipRDxb2,RollDefl2,"Blade 2 roll (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the xb2-axis,(deg),
,TipRDyb2,PtchDefl2,"Blade 2 pitch (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the yb2-axis,(deg),
,TipRDzc2,"TipRDzb2, TwstDefl2","Blade 2 torsional (angular/rotational) tip deflection (relative to the undeflected position). This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the zc2- and zb2-axes,(deg),
,TipClrnc2,"TwrClrnc2, Tip2Twr2","Blade 2 tip-to-tower clearance estimate. This is computed as the perpendicular distance from the yaw axis to the tip of blade 1 when the blade tip is below the yaw bearing. When the tip of blade 1 is above the yaw bearing, it is computed as the absolute distance from the yaw bearing to the blade tip. Please note that you should reduce this value by the tower radius to obtain the actual tower clearance.",N/A,(m),
Blade 3 Tip Motions,,,,,,
,TipDxc3,OoPDefl3,Blade 3 out-of-plane tip deflection (relative to the pitch axis),Directed along the xc3-axis,(m),NumBl < 3
,TipDyc3,IPDefl3,Blade 3 in-plane tip deflection (relative to the pitch axis),Directed along the yc3-axis,(m),NumBl < 3
,TipDzc3,TipDzb3,Blade 3 axial tip deflection (relative to the pitch axis),Directed along the zc3- and zb3-axes,(m),NumBl < 3
,TipDxb3,,Blade 3 flapwise tip deflection (relative to the pitch axis),Directed along the xb3-axis,(m),NumBl < 3
,TipDyb3,,Blade 3 edgewise tip deflection (relative to the pitch axis),Directed along the yb3-axis,(m),NumBl < 3
,TipALxb3,,Blade 3 local flapwise tip acceleration (absolute),Directed along the local xb3-axis,(m/s^2),NumBl < 3
,TipALyb3,,Blade 3 local edgewise tip acceleration (absolute),Directed along the local yb3-axis,(m/s^2),NumBl < 3
,TipALzb3,,Blade 3 local axial tip acceleration (absolute),Directed along the local zb3-axis,(m/s^2),NumBl < 3
,TipRDxb3,RollDefl3,"Blade 3 roll (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the xb3-axis,(deg),NumBl < 3
,TipRDyb3,PtchDefl3,"Blade 3 pitch (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the yb3-axis,(deg),NumBl < 3
,TipRDzc3,"TipRDzb3, TwstDefl3","Blade 3 torsional tip deflection (relative to the undeflected position). This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the zc3- and zb3-axes,(deg),NumBl < 3
,TipClrnc3,"TwrClrnc3, Tip2Twr3","Blade 3 tip-to-tower clearance estimate. This is computed as the perpendicular distance from the yaw axis to the tip of blade 1 when the blade tip is below the yaw bearing. When the tip of blade 1 is above the yaw bearing, it is computed as the absolute distance from the yaw bearing to the blade tip. Please note that you should reduce this value by the tower radius to obtain the actual tower clearance.",N/A,(m),NumBl < 3
Blade 1 Local Span Motions,,,,,,
,Spn1ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 1,Directed along the local xb1-axis,(m/s^2),NBlGages < 1
,Spn1ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 1,Directed along the local yb1-axis,(m/s^2),NBlGages < 1
,Spn1ALzb1,,Blade 1 local axial acceleration (absolute) of span station 1,Directed along the local zb1-axis,(m/s^2),NBlGages < 1
,Spn2ALxb1,,Blade 1 local flapwise acceleration (absolute) of span  station 2,Directed along the local xb1-axis,(m/s^2),NBlGages < 2
,Spn2ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 2,Directed along the local yb1-axis,(m/s^2),NBlGages < 2
,Spn2ALzb1,,Blade 1 local axial acceleration (absolute) of span station 2,Directed along the local zb1-axis,(m/s^2),NBlGages < 2
,Spn3ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 3,Directed along the local xb1-axis,(m/s^2),NBlGages < 3
,Spn3ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 3,Directed along the local yb1-axis,(m/s^2),NBlGages < 3
,Spn3ALzb1,,Blade 1 local axial acceleration (absolute) of span station 3,Directed along the local zb1-axis,(m/s^2),NBlGages < 3
,Spn4ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 4,Directed along the local xb1-axis,(m/s^2),NBlGages < 4
,Spn4ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 4,Directed along the local yb1-axis,(m/s^2),NBlGages < 4
,Spn4ALzb1,,Blade 1 local axial acceleration (absolute) of span station 4,Directed along the local zb1-axis,(m/s^2),NBlGages < 4
,Spn5ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 5,Directed along the local xb1-axis,(m/s^2),NBlGages < 5
,Spn5ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 5,Directed along the local yb1-axis,(m/s^2),NBlGages < 5
,Spn5ALzb1,,Blade 1 local axial acceleration (absolute) of span station 5,Directed along the local zb1-axis,(m/s^2),NBlGages < 5
,Spn6ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 6,Directed along the local xb1-axis,(m/s^2),NBlGages < 6
,Spn6ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 6,Directed along the local yb1-axis,(m/s^2),NBlGages < 6
,Spn6ALzb1,,Blade 1 local axial acceleration (absolute) of span station 6,Directed along the local zb1-axis,(m/s^2),NBlGages < 6
,Spn7ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 7,Directed along the local xb1-axis,(m/s^2),NBlGages < 7
,Spn7ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 7,Directed along the local yb1-axis,(m/s^2),NBlGages < 7
,Spn7ALzb1,,Blade 1 local axial acceleration (absolute) of span station 7,Directed along the local zb1-axis,(m/s^2),NBlGages < 7
,Spn8ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 8,Directed along the local xb1-axis,(m/s^2),NBlGages < 8
,Spn8ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 8,Directed along the local yb1-axis,(m/s^2),NBlGages < 8
,Spn8ALzb1,,Blade 1 local axial acceleration (absolute) of span station 8,Directed along the local zb1-axis,(m/s^2),NBlGages < 8
,Spn9ALxb1,,Blade 1 local flapwise acceleration (absolute) of span station 9,Directed along the local xb1-axis,(m/s^2),NBlGages < 9
,Spn9ALyb1,,Blade 1 local edgewise acceleration (absolute) of span station 9,Directed along the local yb1-axis,(m/s^2),NBlGages < 9
,Spn9ALzb1,,Blade 1 local axial acceleration (absolute) of span station 9,Directed along the local zb1-axis,(m/s^2),NBlGages < 9
,Spn1TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the xb1-axis,(m),NBlGages < 1
,Spn1TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the yb1-axis,(m),NBlGages < 1
,Spn1TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 1,Directed along the zb1-axis,(m),NBlGages < 1
,Spn2TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the xb1-axis,(m),NBlGages < 2
,Spn2TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the yb1-axis,(m),NBlGages < 2
,Spn2TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 2,Directed along the zb1-axis,(m),NBlGages < 2
,Spn3TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the xb1-axis,(m),NBlGages < 3
,Spn3TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the yb1-axis,(m),NBlGages < 3
,Spn3TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 3,Directed along the zb1-axis,(m),NBlGages < 3
,Spn4TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the xb1-axis,(m),NBlGages < 4
,Spn4TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the yb1-axis,(m),NBlGages < 4
,Spn4TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 4,Directed along the zb1-axis,(m),NBlGages < 4
,Spn5TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the xb1-axis,(m),NBlGages < 5
,Spn5TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the yb1-axis,(m),NBlGages < 5
,Spn5TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 5,Directed along the zb1-axis,(m),NBlGages < 5
,Spn6TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the xb1-axis,(m),NBlGages < 6
,Spn6TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the yb1-axis,(m),NBlGages < 6
,Spn6TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 6,Directed along the zb1-axis,(m),NBlGages < 6
,Spn7TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the xb1-axis,(m),NBlGages < 7
,Spn7TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the yb1-axis,(m),NBlGages < 7
,Spn7TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 7,Directed along the zb1-axis,(m),NBlGages < 7
,Spn8TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the xb1-axis,(m),NBlGages < 8
,Spn8TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the yb1-axis,(m),NBlGages < 8
,Spn8TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 8,Directed along the zb1-axis,(m),NBlGages < 8
,Spn9TDxb1,,Blade 1 local flapwise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the xb1-axis,(m),NBlGages < 9
,Spn9TDyb1,,Blade 1 local edgewise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the yb1-axis,(m),NBlGages < 9
,Spn9TDzb1,,Blade 1 local axial (translational) deflection (relative to the undeflected position) of span station 9,Directed along the zb1-axis,(m),NBlGages < 9
,Spn1RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 1
,Spn1RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 1
,Spn1RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 1. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 1
,Spn2RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 2
,Spn2RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 2
,Spn2RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 2. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 2
,Spn3RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 3
,Spn3RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 3
,Spn3RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 3. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 3
,Spn4RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 4
,Spn4RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 4
,Spn4RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 4. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 4
,Spn5RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 5
,Spn5RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 5
,Spn5RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 5. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 5
,Spn6RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 6
,Spn6RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 6
,Spn6RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 6. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 6
,Spn7RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 7
,Spn7RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 7
,Spn7RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 7. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 7
,Spn8RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 8
,Spn8RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 8
,Spn8RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 8. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 8
,Spn9RDxb1,,"Blade 1 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb1-axis,(deg),NBlGages < 9
,Spn9RDyb1,,"Blade 1 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb1-axis,(deg),NBlGages < 9
,Spn9RDzb1,,"Blade 1 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 9. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb1-axis,(deg),NBlGages < 9
Blade 2 Local Span Motions,,,,,,
,Spn1ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 1,Directed along the local xb2-axis,(m/s^2),NBlGages < 1
,Spn1ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 1,Directed along the local yb2-axis,(m/s^2),NBlGages < 1
,Spn1ALzb2,,Blade 2 local axial acceleration (absolute) of span station 1,Directed along the local zb2-axis,(m/s^2),NBlGages < 1
,Spn2ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 2,Directed along the local xb2-axis,(m/s^2),NBlGages < 2
,Spn2ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 2,Directed along the local yb2-axis,(m/s^2),NBlGages < 2
,Spn2ALzb2,,Blade 2 local axial acceleration (absolute) of span station 2,Directed along the local zb2-axis,(m/s^2),NBlGages < 2
,Spn3ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 3,Directed along the local xb2-axis,(m/s^2),NBlGages < 3
,Spn3ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 3,Directed along the local yb2-axis,(m/s^2),NBlGages < 3
,Spn3ALzb2,,Blade 2 local axial acceleration (absolute) of span station 3,Directed along the local zb2-axis,(m/s^2),NBlGages < 3
,Spn4ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 4,Directed along the local xb2-axis,(m/s^2),NBlGages < 4
,Spn4ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 4,Directed along the local yb2-axis,(m/s^2),NBlGages < 4
,Spn4ALzb2,,Blade 2 local axial acceleration (absolute) of span station 4,Directed along the local zb2-axis,(m/s^2),NBlGages < 4
,Spn5ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 5,Directed along the local xb2-axis,(m/s^2),NBlGages < 5
,Spn5ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 5,Directed along the local yb2-axis,(m/s^2),NBlGages < 5
,Spn5ALzb2,,Blade 2 local axial acceleration (absolute) of span station 5,Directed along the local zb2-axis,(m/s^2),NBlGages < 5
,Spn6ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 6,Directed along the local xb2-axis,(m/s^2),NBlGages < 6
,Spn6ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 6,Directed along the local yb2-axis,(m/s^2),NBlGages < 6
,Spn6ALzb2,,Blade 2 local axial acceleration (absolute) of span station 6,Directed along the local zb2-axis,(m/s^2),NBlGages < 6
